DEPARTURE DATE,ADT
2018-05-13,1570
2018-05-20,2021
2018-05-27,5180
2018-06-03,5188
2018-06-10,6277
2018-06-17,21095
2018-06-24,18840
2018-07-01,16109
2018-07-08,11924
2018-07-15,7321
2018-07-22,7226
2018-07-29,5151
2018-08-05,4401
2018-08-12,4080
2018-08-19,6906
2018-08-26,5544
2018-09-02,8834
2018-09-09,8515
2018-09-16,2795
2018-09-23,3747
2018-09-30,7006
2018-10-07,2455
2018-10-14,3223
2018-10-21,2848
2018-10-28,4961
2018-11-04,3435
2018-11-11,2097
2018-11-18,2082
2018-11-25,3615
2018-12-02,1967
2018-12-09,465
2018-12-16,1839
2018-12-23,11468
2018-12-30,6806
2019-01-06,11340
2019-01-13,3184
2019-01-20,2476
2019-01-27,565
2019-02-03,219
2019-02-10,85
2019-02-17,2284
2019-02-24,2128
2019-03-03,676
2019-03-10,1823
2019-03-17,449
2019-03-24,924
2019-03-31,2948
2019-04-07,545
2019-04-14,2837
2019-04-21,2485
2019-04-28,1055
2019-05-05,2820
2019-05-12,1987
2019-05-19,5686
2019-05-26,8550
2019-06-02,4711
2019-06-09,3802
2019-06-16,8372
2019-06-23,7498
2019-06-30,3547
2019-07-07,4927
2019-07-14,1861
2019-07-21,1086
2019-07-28,1479
2019-08-04,3808
2019-08-11,1956
2019-08-18,1000
2019-08-25,2090
2019-09-01,2026
2019-09-08,407
2019-09-15,1579
2019-09-22,2516
2019-09-29,2682
2019-10-06,3140
2019-10-13,2308
2019-10-20,1988
2019-10-27,1048
2019-11-03,2388
2019-11-10,1355
2019-11-17,3153
2019-11-24,3207
2019-12-01,3472
2019-12-08,1909
2019-12-15,766
2019-12-22,9336
2019-12-29,4206
2020-01-05,11831
2020-01-12,4405
2020-01-19,865
2020-01-26,1620
2020-02-02,873
2020-02-09,1664
2020-02-16,1467
2020-02-23,1402
2020-03-01,1345
2020-03-08,1226
2020-03-15,4447
2020-03-22,4878
2020-03-29,3686
2020-04-05,4820
2020-04-12,2706
2020-04-19,3852
2020-04-26,1502
2020-05-03,922
2020-05-10,231
2020-05-17,3203
2020-05-24,1589
2020-05-31,1162
2020-06-07,0
2020-06-14,2124
2020-06-21,1712
2020-06-28,1985
2020-07-05,1976
2020-07-12,1979
2020-07-19,2603
2020-07-26,2234
2020-08-02,2051
2020-08-09,1040
2020-08-16,1540
2020-08-23,1337
2020-08-30,903
2020-09-06,425
2020-09-13,673
2020-09-20,1435
2020-09-27,874
2020-10-04,2032
2020-10-11,1383
2020-10-18,3254
2020-10-25,3338
2020-11-01,741
2020-11-08,411
2020-11-15,1941
2020-11-22,1794
2020-11-29,390
2020-12-06,1064
2020-12-13,1548
2020-12-20,1288
2020-12-27,3342
2021-01-03,658
2021-01-10,2456
2021-01-17,288
2021-01-24,48
2021-01-31,508
2021-02-07,210
2021-02-14,396
2021-02-21,232
2021-02-28,0
2021-03-07,326
2021-03-14,1163
2021-03-21,3578
2021-03-28,654
2021-04-04,358
2021-04-11,480
2021-04-18,100
2021-04-25,180
2021-05-02,481
2021-05-09,94
2021-05-16,150
2021-05-23,850
2021-05-30,863
2021-06-06,2739
2021-06-13,859
2021-06-20,1864
2021-06-27,2041
2021-07-04,3472
2021-07-11,367
2021-07-18,1823
2021-07-25,4041
2021-08-01,3915
2021-08-08,3898
2021-08-15,6511
2021-08-22,4657
2021-08-29,3684
2021-09-05,3562
2021-09-12,3161
2021-09-19,2599
2021-09-26,2915
2021-10-03,2434
2021-10-10,3191
2021-10-17,1013
2021-10-24,886
2021-10-31,3138
2021-11-07,922
2021-11-14,2595
2021-11-21,3662
2021-11-28,2958
2021-12-05,1122
2021-12-12,2467
2021-12-19,3341
2021-12-26,1686
2022-01-02,5008
2022-01-09,4043
2022-01-16,1955
2022-01-23,974
2022-01-30,415
2022-02-06,252
2022-02-13,1252
2022-02-20,2086
2022-02-27,1471
2022-03-06,2868
2022-03-13,1544
2022-03-20,3942
2022-03-27,960
2022-04-03,814
2022-04-10,1057
2022-04-17,879
2022-04-24,547
2022-05-01,768
2022-05-08,927
2022-05-15,1936
2022-05-22,3297
2022-05-29,2788
2022-06-05,2615
2022-06-12,2548
2022-06-19,3342
2022-06-26,7509
2022-07-03,2393
2022-07-10,2516
2022-07-17,7425
2022-07-24,1274
2022-07-31,1854
2022-08-07,2157
2022-08-14,1723
2022-08-21,2809
2022-08-28,1521
2022-09-04,399
2022-09-11,758
2022-09-18,121
2022-09-25,292
2022-10-02,976
2022-10-09,477
2022-10-16,0
2022-10-23,104
2022-10-30,0
2022-11-06,89
2022-11-13,0
2022-11-20,0
2022-11-27,516
2022-12-04,516
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,0
2023-01-08,568
